abandon,버리다
able,할 수 있는
aboard,배로
abort,중단하다
about,~에 대한
above,~ 위에
abroad,해외에서
absent,결석한
absolute,순수한
absorb,흡수하다
abstract,추상적인
absurd,터무니없는
abundant,풍부한
abuse,남용
academy,학원
accelerate,가속하다
accent,악센트
accept,수용하다
access,입장
accident,사고
accommodate,수용하다
accompany,동반하다
accomplish,성취하다
accord,일치
account,계정
accumulate,축적하다
accurate,정확한
accuse,고발하다
achieve,성취하다
acid,산
acknowledge,인정하다
acquaint,의히 알게 하다
acquire,습득하다
acquisition,인수
across,가로질러
act,행동
activate,활성화하다
actual,실제
acute,심각한
adapt,적응하다
add,추가하다
addict,중독자
address,주소
adequate,적절한
adjust,조정하다
administer,관리하다
admire,존경하다
admission,가입
admit,인정하다
adolescent,한창 젊은
adopt,입양하다
adult,성인
advance,전진
advantage,이점
adventure,모험
adverse,불리한
advertize,광고하다
advise,권하다
advocate,지지하다
aesthetic,미적인
affair,일
affect,영향을 미치다
affection,애정
affiliate,제휴하다
afford,여유가 되다
afraid,두려워하는
after,~ 후에
afternoon,오후
again,다시
against,~에 맞서
age,나이
agency,대행사
agenda,의제
agent,대리인
aggressive,공격적인
ago,~ 전에
agree,동의하다
agriculture,농업
ahead,앞으로
aid,지원
aim,목표
air,공기
airplane,비행기
aircraft,항공기
airline,공기 호스
airport,공항
aisle,통로
alert,알리다
alien,외계인
alike,서로 같은
alive,살아 있는
all,모두
allocate,할당하다
allow,허용하다
ally,동맹국
almost,거의
alone,홀로
along,~을 따라
alongside,나란히
aloud,소리 내어
already,이미
alright,괜찮은
also,또한
alter,바꾸다
alternative,대안
although,하지만
altogether,전부
always,언제나
A.M.,오전.
amaze,놀리다
ambassador,대사
ambition,큰 뜻
among,~ 중에
amount,양
amplify,더욱 상세히하다
amuse,기쁘게하다
analyze,분석하다
anchor,닻
ancient,고대의
and,그리고
angel,천사
anger,화
angle,각도
animal,동물
anniversary,기념일
announce,발표하다
annoy,짜증나게 하다
annual,연간
another,또 다른
answer,답변
ant,개미
anticipate,예상하다
anxiety,불안
anxious,불안해하는
any,어느
apart,따로
apology,사과
apparent,명백한
appeal,항소
appear,나타나다
apple,사과
applicant,응모자
apply,적용하다
appoint,정하다
appreciate,고마워하다
approach,접근하다
appropriate,적절한
approve,승인하다
approximate,근사치를 내다
architect,건축가
architecture,건축학
archive,보관소
area,영역
argue,다투다
arise,생기다
arm,팔
army,군대
around,약
arrange,마련하다
arrest,체포
arrive,도착하다
arrow,화살
art,미술
article,기사
artificial,인공의
as,~처럼
ash,금연 건강 증진 협회
aside,곁에
ask,묻다
asleep,죽어
aspect,측면
aspire,열망하다
assault,폭행
assemble,모으다
assert,주장하다
assess,평가하다
asset,유산
assign,양수인
assist,돕다
associate,연관짓다
assume,추정하다
assure,확신하다
astonish,놀라게 하다
at,~에
athlete,운동 선수
atmosphere,대기
atom,원자
attach,붙이다
attack,공격
attain,달성하다
attempt,시도
attend,참석하다
attention,주목
attitude,태도
attorney,변호사
attract,끌어 들이다
attribute,기인하다
auction,경매
audience,청중
aunt,이모
authentic,진본인
author,작가
autobiography,자서전
automatic,자동적 인
automobile,자동차
available,사용 가능
avenue,수단
average,평균
avoid,피하다
await,기다리다
awake,깨어 있는
award,상
aware,알고 있는
away,떨어져 있는
awesome,엄청난
awful,끔찍한
awkward,어색한
baby,아기
back,뒤쪽에
background,배경
bad,나쁜
bake,빵 굽기
balance,균형
ball,공
balloon,풍선
ban,반
band,밴드
bang,쾅
bank,은행
bankrupt,파산한
bar,술집
bare,없는
bargain,싸게 사는 물건
bark,짖다
barn,외양간
barrier,장벽
base,베이스
baseball,야구
basic,기초적인
basis,기초
basket,바구니
basketball,농구
bat,박쥐
bath,욕조
bathroom,화장실
battery,배터리
battle,전투
bay,만
be,BE
beach,해변
beam,빔
bean,콩
bear,곰
beard,수염
beast,짐승
beat,이기다
beauty,아름다움
because,왜냐하면
become,~이 되다
bed,침대
bedroom,침실
bee,벌
beef,소고기
beer,맥주
before,~ 전에
beg,빌다
begin,시작하다
behalf,이익
behave,행동하다
behavior,행동
behind,뒤에
believe,믿다
bell,벨
belong,제자리에 있다
below,아래에
bend,굽히다
beneath,~ 아래에
benefit,혜택
berry,말린 씨앗
beside,옆에
bet,내기
betray,무심코 드러내다
between,~ 사이
beyond,그 너머에
bias,편견
bible,성경
bicycle,자전거
big,큰
bill,청구서
billion,10억
bin,큰 상자
bind,묶다
biography,전기
biology,생물학
bird,새
birth,출생
birthday,생일
bishop,주교
bit,조금
bite,깨물다
bitter,격렬한
black,검은색
blame,탓하다
blank,공백
blanket,담요
blast,폭발
blend,혼합하다
bless,신을 하다
blind,눈이 먼
blink,깜박거리다
block,차단하다
blonde,금발의
blood,피
bloom,꽃
blossom,꽃
blow,불다
blue,파란색
board,판자
boat,보트
body,몸
boil,종기
bold,용감한
bomb,폭탄
bond,노예
bone,뼈
book,책
boom,팔
boost,후원
boot,신병
border,국경
bore,구경
borrow,빌리다
boss,사장
both,둘 다
bother,신경 쓰다
bottle,병
bottom,맨 아래
bounce,되튐
boundary,경계
bow,절하다
bowl,그릇
boy,소년
brain,뇌
brake,브레이크
branch,나뭇가지
brand,상표
brave,용감한
bread,빵
break,부서지다
breakfast,아침
breast,가슴
breathe,숨 쉬다
breed,새끼를 낳다
breeze,미풍
brew,꾸미다
brick,벽돌
bride,신부
bridge,다리
brief,짧은
bright,밝은
brilliant,멋진
bring,가져오다
broad,넓은
broadcast,방송
brother,형제
brown,갈색
brush,브러시
brute,짐승
bubble,거품
budget,예산
bug,벌레
build,짓다
bulk,대부분
bull,황소
bullet,총알
bully,괴롭히는 사람
bump,충돌
bunch,다발
bundle,묶음
burden,부담
burn,불타다
burst,터지다
bury,묻다
bush,부시
business,사업
busy,바쁘다
but,하지만
butcher,푸줏간
button,단추
buy,구입하다
buzz,버저 소리
by,~에 의해
cab,택시
cabin,선실
cable,케이블
cage,새장
calculate,계산하다
calendar,달력
call,부르다
calm,침착한
can,~할 수 있다
cancel,취소
cancer,암
candidate,후보자
candy,사탕
canvas,캔버스
cap,캡
capable,유능한
cape,...곶
capital,수도
captain,선장
caption,표제
capture,포착
car,자동차
care,케어
career,직업
carrot,당근
carry,나르다
cart,카트
carve,새기다
case,사례
cash,현금
cast,깁스
castle,성
casual,평상복
cat,고양이
catch,잡다
category,범주
cater,네 끗패
cathedral,성당
cattle,가축
causal,인과적인
cause,원인
caution,주의
cave,동굴
cease,중지
ceiling,천장
celebrate,축하하다
celebrity,유명 인사
cell,셀
censor,검열
century,세기
certain,확실한
certificate,자격증
chain,체인
chair,의자
chairman,의장
challenge,도전
chamber,방
chance,가능성
change,변화
chaos,혼돈
character,성격
characteristic,특성
charge,요금
charity,자선 단체
charm,매력
chase,뒤쫓다다
chat,채팅
cheap,값이 싼
check,확인하다
cheek,볼
cheer,환호
chef,요리사
chemical,화학적인
chemistry,화학
chest,가슴
chew,씹다
chief,셰프
child,어린이
chill,냉기
chin,턱
chip,칩
choir,성가대
choose,선택하다
chop,촙
chorus,합창
chronic,만성병 환자
church,교회
cigarette,담배
cinema,영화
circle,원
circulate,돌리다
circumstance,상황
cite,인용하다
citizen,시민
city,도시
civil,예의 바른
claim,주장하다
clap,박수
clarify,밝히다
clash,충돌
class,수업
classic,권위 있는
classify,나누다
classroom,교실
clause,절
clay,점토
clean,깨끗한
clear,분명한
clerk,사무원
clever,영리한
client,고객
cliff,낭떠러지
climate,기후
climb,오르다
cling,달라붙다
clinic,진료소
clip,클립
clock,시계
close,닫다
cloth,옷감
cloud,구름
club,클럽
clue,단서
cluster,무리
coach,코치
coal,석탄
coast,해안
code,암호
coin,동전
coincide,일치하다
cold,추운
collaborate,협력하다
collapse,무너지다
collar,칼라
colleague,동료
collect,모으다
college,대학
colony,식민지
color,색상
column,열
combat,전투
combine,결합하다
come,오다
comedy,코메디
comfort,편안
command,명령
commence,시작하다
comment,논평
commerce,상업
commission,수수료
commit,저지르다
committee,위원회
commodity,상품
communicate,의사소통하다
communist,공산주의자
community,지역 사회
companion,동반자
company,회사
compare,비교하다
compatible,호환 가능
compel,강요하다
compensate,보상하다
compete,경쟁하다
competent,능숙한
compile,엮다
complain,불평하다
complement,보어
complete,완벽한
complex,복잡한
complicate,복잡하다
component,요소
compose,구성하다
compound,화합물
comprehensive,포괄적인
comprise,이루다
compromise,타협
compulsory,의무적 인
conceal,숨기다
conceive,배다
concentrate,집중하다
concept,개념
concern,우려
concert,콘서트
conclude,끝내다
concrete,콘크리트
condemn,비난하다
condition,상태
conduct,지휘하다
confer,봉하다
confess,불다
confident,자신감
confine,가두다
confirm,확인하다
conflict,갈등
conform,순응하다
confront,직면하다
confuse,혼란시키다
congratulate,축하하다
congress,회의
connect,연결하다
conscience,양심
conscious,의식하는
consensus,의견 일치
consent,동의
conserve,보존
consider,고려하다
consist,이루어져 있다
consistent,일관된
constant,끊임없는
constitute,구성하다
constrain,억누르다
construct,건설하다
consult,찾다
consume,소비하다
contact,연락하다
contain,포함하다
contemporary,현대의
contend,다투다
content,콘텐츠
contest,대회
context,문맥
continent,대륙
continue,계속하다
contract,계약
contradict,모순되다
contrary,반대되는
contrast,차이
contribute,기여하다
control,제어
controversy,논쟁
convenient,편리한
convention,협약
conversation,대화
convert,전환하다
convey,전달하다
convict,죄수
convince,확신시키다
cook,요리하다
cookie,쿠키
cool,시원한
cooperate,협력
coordinate,동등 어구
cop,순경
cope,코프
copy,복사
copyright,저작권
cord,코드
core,핵심
corn,옥수수
corner,모서리
corporate,기업
correct,옳은
correspond,대응하다
corridor,복도
corrupt,부정한
cost,비용
costume,복장
cottage,시골집
cotton,면
couch,침상
cough,기침
could,~할 수 있었다
council,이사회
counsel,조언
count,세다
counter,카운터
counterpart,짝
country,국가
countryside,한 지방
county,군
couple,커플
courage,용기
cousin,사촌
cover,씌우다
cow,암소
cowboy,카우보이
crack,금이 가다
craft,선박
crash,충돌
crawl,기다
crazy,미친
create,만들다
creature,생물
credible,신뢰할 수 있는
credit,신용 거래
creek,작은 만
creep,살금살금 기다
crew,승무원
cricket,크리켓
crime,범죄
criminal,범인
crisis,위기
crisp,상쾌한
criteria,기준
critic,비평가
criticize,흠잡다
criticism,비판
crop,수확고
cross,십자가
crowd,군중
crown,왕관
crucial,중대한
cruel,잔혹한
cruise,크루즈
crush,으깨다
cry,울다
crystal,결정
cultivate,기르다
culture,문화
cupboard,찬장
cure,치유법
curious,궁금한
curl,곱슬 곱슬하다
currency,통화
current,현재의
curriculum,과정
curry,카레
curse,저주
curtain,커튼
curve,곡선
custody,보관
custom,관습
customer,고객
cut,자르다
cute,귀여운
cycle,주기
cynical,냉소적인
dad,아빠
dairy,낙농
dam,댐
damage,손상
damp,습기
dance,춤
danger,위험
dare,도전
dark,어두운
darling,여보
dash,대시
database,데이터 베이스
date,날짜
daughter,딸
dawn,새벽
day,낮
dead,죽은
deal,거래
death,죽음
debate,토론
debt,빚
decade,10년
decay,부식
decent,품위 있는
decide,결정하다
decision,결정
deck,갑판
declare,선언하다
decline,감소
decorate,장식하다
decrease,감소하다
dedicate,전념하다
deep,깊은
defeat,패배시키다
defense,방어
defend,지키다
defendant,피고
deficiency,부족
deficit,적자
define,정의하다
definite,명확한
degrade,저하하다
degree,도
delay,지연
delegate,대리자
delete,삭제
deliberate,고의의
delicate,연약한
delicious,맛있는
delight,기쁨
deliver,배달하다
demand,수요
democracy,민주주의
democrat,민주당
demon,악마
demonstrate,입증하다
dense,밀집한
dentist,치과 의사
deny,부인하다
department,부서
departure,출발
depend,의존하다
dependence,의존
depict,묘사하다
deposit,보증금
depress,내리 누르다
deprive,빼앗다
derive,파생하다
descend,하강하다
describe,설명하다
description,설명
desert,사막
deserve,~ 받을 만하다
design,설계
designate,가리키다
desire,욕구
desk,책상
despair,절망
desperate,자포자기한
despite,~에도 불구하고
destination,목적지
destiny,운명
destroy,파괴하다
destruction,파괴
detach,분리하다
detail,세부 사항
detect,감지하다
determine,결정하다
develop,개발하다
device,장치
devil,악마
devise,유증
devote,바치다
diabetes,당뇨병
dialogue,대화
diary,다이어리
dictate,명령
dictionary,사전
die,주사위
different,다른
difficult,어려운
dig,파기
dignity,위엄
dimension,치수
diminish,줄다
dine,식사하다
dinner,저녁
dip,담그다
diplomat,외교관
direct,직접
dirty,더러운
disabled,장애가 있는
disadvantage,불리
disagree,동의하지 않는다
disappear,사라지다
disappoint,어긋나게 하다
disaster,재해
discharge,해고하다
discipline,규율
disclose,드러내다
discount,할인
discourse,담화
discover,발견하다
discriminate,차별하다
discuss,논의하다
disease,질병
disgust,싫음
dish,접시
dismiss,해고하다
disorder,무질서
displace,대신 들어서다
display,표시하다
dispose,처분하다
dispute,논쟁
disrupt,방해하다
distant,먼
distort,왜곡하다
distract,괴롭히다
distribute,분배하다
district,구역
disturb,방해하다
dive,잠수
diverse,다양한
divide,나누다
divine,신성한
divorce,이혼
do,하다
doctor,의사
document,문서
dog,개
doll,인형
dolphin,돌고래
domain,도메인
domestic,국내의
dominant,우성
donate,기부하다
door,문
dose,정량
dot,점
double,더블
doubt,의심
down,아래에
dozen,다스
draft,초안
drag,견인
drain,물을 빼다
draw,그리다
drawer,서랍
dread,공포
dream,꿈
drink,마시다
drive,운전하다
drop,떨어지다
drown,안 들리게 하다
drug,의약품
dry,마른
dual,듀얼
duck,오리
due,~로 인한
dull,따분한
dump,덤프
during,~ 동안
dust,먼지
duty,의무
dwell,머무르다
dynamic,동적
each,각
eager,열렬한
ear,귀
early,일찍
earn,벌다
earth,지구
ease,쉬움
east,동쪽
easy,쉬운
eat,먹다
economy,경제
edge,가장자리
edit,편집하다
educate,기르다
effect,효과
effective,효과적인
efficient,효율적인
effort,노력
egg,계란
either,어느 하나
elaborate,정교한
elect,선택된
electric,전기 같은
electronic,전자
elegant,우아한
element,요소
elementary,초등학교
elephant,코끼리
eliminate,제거하다
else,또 다른
embarrass,난처하게 하다
embassy,대사관
embrace,포옹하다
emerge,알려지다
emergency,비상
emit,방출하다
emotion,감정
emphasis,중요성
empire,제국
employ,고용
empty,비어 있는
enclose,넣다
encounter,맞닥뜨리다
encourage,장려하다
end,끝
endure,견디다
enemy,적
enforce,억지로 시키다
engage,관계를 맺다
engine,엔진
engineer,엔지니어
enhance,향상시키다
enjoy,즐기다
enormous,막대한
enough,충분한
enroll,싸다
ensure,ensure
enter,입력하다
enterprise,기업
entertain,즐겁게 하다
enthusiastic,열렬한
entire,전체
entitle,자격을 부여하다
entry,기입
envelope,봉투
environment,환경
envy,부러움
episode,삽화
equal,동일한
equate,같게 하다
equipment,장비
era,연대
eraser,지우개
erect,세우다
error,오류
escape,탈출하다
escort,호위
especially,특히
essential,필수적인
establish,설립하다
estate,사유지
estimate,추정
etc,등
ethical,윤리적인
ethnic,민족
evacuate,대피
evaluate,평가하다
eve,이브
even,심지어
evening,저녁
eventually,결국
ever,항상
every,모든
evident,분명한
evil,사악한
evolution,진화
evolve,진화하다
exact,정확한
exaggerate,과장하다
exam,시험
examine,조사하다
example,예
exceed,초과하다
excellent,훌륭한
except,제외하고
excess,과잉
exchange,교환
excite,일으키다
exclude,들어오지 못하게 하다
exclusive,독점적인
excuse,변명
executive,경영진
exercise,운동
exhaust,배기가스
exhibit,전시하다
exist,존재하다
exit,출구
exotic,이국적인
expand,확장하다
expect,예상하다
expense,비용
expensive,값비싼
experience,경험
experiment,실험
expert,전문가
expertise,전문적 지식
explain,설명하다
explicit,명백한
explode,터지다
explore,탐구하다
export,내보내다
expose,폭로하다
express,표현하다
extend,연장하다
extent,정도
external,외부
extinct,멸종된
extra,추가의
extract,발췌
extraordinary,기이한
extreme,극심한
eye,눈
eyebrow,눈썹
fabric,구조
face,얼굴
facilitate,가능하게 하다
facility,시설
fact,사실
factor,요인
factory,공장
faculty,학부
fade,바래다
fail,실패하다
faint,희미한
fair,공정한
faith,믿음
fall,떨어지다
false,거짓
fame,명성
familiar,친숙한
family,가족
famous,유명한
fan,팬
fancy,팬시한
fantastic,환상적인
far,멀리
fare,요금
farm,농장
fascinate,홀리다
fast,빠른
fasten,묶다
fat,지방
fatal,치명적인
fate,운명
father,아버지
fault,잘못
favor,호의
favorite,가장 좋아하는
fear,두려움
feature,특징
federal,연방
fee,요금
feed,밥을 먹이다
feel,느끼다
fellow,사람
female,여성
ferry,나룻배
fertile,비옥한
fever,발열
few,약간의
fiber,섬유
field,필드
fierce,사나운
fight,싸움
figure,수치
file,파일
fill,채우다
filter,필터
final,결정적인
finance,재원
find,찾다
fine,괜찮은
finger,손가락
finish,마치다
finite,한정된
fire,불
firm,단단한
fish,물고기
fist,주먹
fit,맞다
fix,고치다
flag,깃발
flame,불꽃
flash,플래시
flat,평평한
flavor,맛
flaw,결함
flee,서두르다
flesh,육체
flexible,유연한
flight,비행
flip,튀기다
float,뜨다
flock,대군
flood,홍수
floor,바닥
flourish,융성
flow,흐름
flower,꽃
fluid,체액
flush,플러시
fly,파리
focus,집중하다
fog,안개
fold,겹
folk,사람들
follow,따르다
fond,다정한
food,음식
fool,바보
foot,발
football,축구
for,~을 위한
forbid,금지하다
force,힘
forecast,예측
forehead,이마
foreign,외국의
forest,숲
forever,영원히
forget,잊다
forgive,용서하다
form,형태
formal,공식적인
format,체재
formation,형성
former,이전의
formula,공식
forth,앞으로
fortunate,운이 좋은
fortune,행운
forum,법정
forward,앞으로
foster,기르다
foundation,기반
fountain,분수
fox,여우
fraction,분수
frame,액자
framework,뼈대
frankly,솔직히
free,무료
freeze,꼭 매달리게 하다
frequent,잦은
fresh,신선한
friend,친구
fright,공포
frog,개구리
from,~에서
front,앞쪽
frost,서리
frown,찌푸린 얼굴
fruit,과일
frustrate,좌절시키다
fry,튀김
fuel,연료
fulfil,다하다
full,가득한
fun,재미있는
function,기능
fund,축적
fundamental,근본적인
funeral,장례식
fur,털
furious,맹렬한
furnish,주다
furniture,가구
furthermore,뿐만 아니라
fuse,퓨즈
future,미래
gain,얻다
gamble,도박
gang,가다
gap,갭
garage,차고
garden,정원
gasoline,가솔린
gate,문
gather,모으다
gaze,시선
gear,기어
gender,성별
gene,유전자
general,일반적인
generate,생성하다
generation,세대
generous,관대한
genius,천재
genre,장르
gentle,온화한
gentleman,신사
genuine,진실한
geography,지리학
geology,지질학
gesture,몸짓
get,얻다
ghost,귀신
giant,거대한
gift,선물
giraffe,기린
girl,소녀
give,주다
glad,기쁜
glance,섬광
glare,섬광
glass,유리
glimpse,일견
global,글로벌
glory,영광
glove,장갑
glow,불타는 듯한 빛깔
glue,접착제
go,가다
goal,목표
goat,염소
god,하나님
gold,금
good,좋은
goodbye,안녕히 가세요
goods,상품
gorgeous,아주 멋진
govern,통치하다
grab,붙잡다
grace,우아함
grade,등급
gradual,점진적인
graduate,졸업하다
grain,곡물
grand,멋진
grandfather,할아버지
grant,승인하다
grape,포도
graphic,그래픽
grasp,파악
grass,잔디
grateful,고마워하는
grave,무덤
great,엄청난
greed,탐욕
green,녹색
greet,환영하다
grey,회색
grief,고통
grip,꽉 붙잡음
grocery,식료품점
gross,역겨운
ground,지면
group,그룹
grow,자라다
guarantee,보장하다
guardian,보호자
guess,추측하다
guest,손님
guide,가이드
guideline,지침
guilty,죄책감이 드는
gulf,만
gun,총
guy,남자
gymnasium,연무장
habit,습관
habitat,서식지
hair,머리카락
half,반
hall,홀
halt,정지
hammer,망치
hand,손
handicap,핸디캡
handle,핸들
handsome,멋있는
hang,걸다
happen,일어나다
happy,행복하다
harbor,항구
hard,딱딱한
hardly,거의 ~ 아니다
harm,피해
harsh,가혹한
harvest,수확하다
haste,서두름
hat,모자
hate,싫어하다
haunt,나타나다
have,가지다
hazard,위험
he,그
head,머리
headache,두통
headquarters,본부
heal,치유하다
health,건강
hear,듣다
heart,마음
heat,열
heaven,천국
heavy,무거운
heel,힐
height,키
heir,후계자
helicopter,헬리콥터
hell,지옥
hello,안녕하세요
help,돕다
hence,따라서
here,여기
heritage,유산
hero,영웅
hesitate,망설이다
hide,숨다
high,높은
highway,고속도로
hill,언덕
hip,잘 알고 있기
hire,고용하다
history,역사
hit,때리다
hobby,취미
hold,잡고 있다
hole,구멍
holiday,휴일
holy,거룩한
home,집
homework,숙제
honest,솔직한
honey,꿀
honor,명예
hook,훅
hope,희망
horizon,수평선
horn,뿔
horror,공포
horse,말
hospital,병원
host,주인
hostage,인질
hostile,적의
hot,더운
hour,시간
house,집
household,가정
how,어떻게
however,하지만
hug,껴안다
huge,거대한
human,인간
humor,기분
hundred,백
hungry,배고픈
hunt,사냥
hurry,서두르다
hurt,아프다
husband,남편
hut,오두막
hypothesis,가설
I,나
ice,얼음
idea,아이디어
ideal,이상적인
identical,동일한
identify,식별하다
ideology,관념론
if,만약에
ignore,무시하다
ill,아픈
illusion,환각
illustrate,설명하다
imagine,상상하다
imitate,본뜨다
immediate,즉각적인
immense,엄청난
immigrate,이민하다
immune,면역성 있는
impact,영향
imperial,장엄한
implement,구현하다
imply,암시하다
import,수입
important,중요한
impose,부과하다
impress,감탄시키다
improve,개선하다
in,~에
incentive,자극
incident,사건
incline,경사
include,포함하다
income,소득
incorporate,포함하다
increase,증가하다
incredible,믿을 수 없는
indeed,물론
independent,독립적인
index,색인
indicate,나타내다
individual,개인
induce,유도하다
industry,산업
inevitable,불가피한
infant,유아
infect,감염시키다
infer,미루다
inflate,부풀게 하다
influence,영향
inform,알리다
informal,비공식
ingredient,재료
inhabit,거주하다
inherent,고유의
inhibit,억제하다
initial,초기의
initiate,시작하다
inject,주입하다
injure,해치다
inn,여인숙
innocent,순결한
innovate,받아 들여 쓰다
input,입력
inquire,문의
insect,곤충
insert,끼워 넣다
inside,내부에
insight,통찰력
insist,주장하다
inspect,검사하다
inspire,고무하다
install,설치하다
instance,사례
instant,즉각적인
